Month,Advertising,Price,Discount,Customers,Sales
118,3989,44,13,340,29922
119,6469,55,20,358,36025
120,5122,56,13,381,33012
121,7528,40,5,265,32491
122,6938,55,21,167,27366
123,3424,56,19,235,21764
124,2707,35,2,245,20763
125,6507,59,4,353,32418
126,6659,53,12,487,42860
127,4645,50,25,244,26641
128,6874,57,0,577,45754
129,7808,38,27,232,34797
130,7200,51,29,145,28256
131,3541,38,29,188,23941
132,6968,51,35,424,43678
133,7687,49,32,338,40703
134,5152,40,30,350,35914
135,7658,42,17,512,48819
136,5770,50,15,260,28794
137,2134,57,18,240,19050
138,4251,45,34,161,23410
139,2735,42,24,475,35934
140,7286,41,4,332,35123
141,4210,52,29,332,30829
142,3194,48,24,583,43427
143,6284,57,1,558,43621
144,6216,47,30,123,25120
145,3946,59,24,556,41559
146,5909,58,34,529,46689
147,3306,50,14,259,23130
148,5478,35,24,292,33800
149,7063,60,25,490,44326
150,5328,39,34,133,25482
151,6348,53,1,162,22211
152,5011,39,29,213,27581
153,3631,47,20,228,23619
154,4177,45,24,262,28259
155,4953,43,5,360,30675
156,7636,52,3,299,32203
157,6825,37,2,506,43028
158,3525,41,1,438,31617
159,3454,39,30,462,38162
160,6120,41,29,478,44778
161,7782,46,10,430,42493
162,7627,57,7,518,44224
163,4048,38,1,595,42088
164,6216,56,24,323,34704
165,3124,37,15,172,20219
166,7828,44,7,527,47545
167,7911,36,22,392,43681
168,6919,46,4,379,36792
169,4295,35,26,541,44887
170,2364,48,23,445,33196
171,7294,39,27,210,33478
172,5774,55,17,435,38389
173,7845,50,29,343,41041
174,6353,43,20,556,47698
175,2209,43,28,244,23895
176,5306,53,24,292,29951
177,5549,45,11,369,33716
178,4406,60,16,294,26315
179,6383,57,17,404,36702
180,5732,41,5,243,27629
181,4829,50,35,508,43555
182,7157,50,31,349,38755
183,2262,44,14,327,25817
184,3493,44,23,362,31787
185,5849,46,27,501,45089
186,4209,46,29,258,27976
187,3559,42,7,489,35538
188,4084,38,34,510,44207
189,3016,41,13,498,36636
190,3765,58,33,425,35417
191,2323,41,18,236,21349
192,2969,44,0,482,33054
193,2536,43,2,147,14197
194,3893,57,8,446,33435
195,5521,38,0,413,35083
196,5345,50,28,294,31546
197,1920,43,30,178,18587
198,4782,50,4,415,33554
199,7123,36,9,196,29102
200,3989,37,15,180,22277
201,7762,48,14,517,47541
202,4616,49,28,272,29680
203,5012,44,3,432,35761
204,2312,59,13,440,29178
205,3667,56,5,200,17938
206,2923,52,4,200,16115
207,4846,49,30,269,29242
208,3396,44,18,479,36905
209,2083,56,14,593,37738
210,7953,60,12,337,35426
211,5961,42,9,585,46613
212,2665,37,3,204,18012
213,6374,58,18,344,33676
214,5339,57,19,478,39639
215,3730,51,34,372,33762
216,2158,54,2,575,35336
217,7517,45,16,133,25719
218,3375,56,1,511,34566
219,3707,53,2,510,35953
220,2935,50,33,453,36417
221,3778,40,27,445,38053
222,2247,50,22,329,25880
223,4130,56,6,559,38720
224,4201,48,31,267,29303
225,4780,59,35,138,22457
226,2221,45,16,285,22478
227,7828,47,32,542,51353
228,6887,52,29,331,36647
229,3036,51,23,438,34538
230,5583,55,28,509,43022
231,3167,43,35,187,23181
232,5089,57,31,182,24204
233,6661,54,15,483,41963
234,4045,52,0,402,29804
235,2263,42,7,356,25218
236,6806,39,31,597,54375
237,3890,51,17,332,28946
238,5368,42,29,402,38595
239,4642,41,32,502,43141
240,2071,43,26,294,25485
241,3688,35,18,491,38969
242,6308,53,31,563,48566
243,5158,52,30,296,31667
244,6021,59,34,313,34633
245,4136,41,15,412,34523
246,3413,59,26,142,17769
247,7600,50,24,317,38034
248,7991,55,9,373,37390
249,2534,51,21,565,38714
250,5106,38,33,586,49978
251,1625,58,9,329,21870
252,2764,37,30,520,40382
253,4273,54,25,452,36644
254,4191,56,34,314,30738
255,6634,57,31,566,49772
256,1794,54,4,240,16878
257,7106,44,14,502,44868
258,5055,38,6,347,31266
259,7185,44,1,143,23436
260,1959,44,22,311,25176
261,2692,42,33,330,30331
262,7085,60,11,207,26310
263,2146,54,24,437,32195
264,3472,50,9,238,21492
265,6725,43,29,250,34170
266,1576,60,29,581,38231
267,7050,52,10,157,24809
268,4330,53,19,447,36239
269,7155,43,29,552,50979
270,3131,47,30,174,20903
271,4624,53,22,414,35347
272,7228,44,1,544,46269
273,4742,43,0,409,33371
274,7875,58,3,586,48576
275,7604,50,18,517,47074
276,6473,60,22,232,29263
277,3057,54,16,467,34557
278,7405,59,8,441,39304
279,6640,55,2,278,28760
280,1773,53,23,494,33319
281,2238,44,20,502,35903
282,2938,41,8,522,36997
283,4497,51,32,587,46576
284,2847,43,30,532,40567
285,7615,45,7,359,36712
286,2653,59,14,560,37661
287,7432,56,25,553,49886
288,4496,37,25,127,21677
289,5895,38,29,308,36146
290,7635,56,16,419,40982
291,6730,46,6,465,40619
292,5362,35,35,287,35130
293,3313,55,4,445,31033
294,7243,44,26,179,29665
295,1871,36,19,372,28113
296,2296,42,34,189,21521
297,5216,46,34,334,35847
298,7580,58,9,573,47900
299,6865,38,31,435,45083
300,3791,36,23,231,25973
301,5142,42,23,170,25366
302,4509,52,22,151,20959
303,3760,41,7,554,40213
304,2250,56,13,448,30719
305,6391,35,3,522,43993
306,3495,39,13,155,19641
307,6040,41,13,536,44865
308,4191,59,9,523,37945
309,1523,43,9,186,15346
310,3553,60,11,176,17829
311,1711,39,0,303,20436
312,6323,45,1,209,24928
313,1929,39,26,389,30070
314,7608,37,30,349,42685
315,4465,51,6,351,29319
316,3314,54,2,492,33779
317,5771,44,29,449,41594
318,1998,50,25,338,27090
319,2384,50,28,157,17284
320,4138,54,9,153,17116
321,3752,54,35,484,39559
322,4620,54,33,270,29603
323,5641,54,27,170,25777
324,2437,55,35,489,36596
325,5023,49,14,331,30789
326,5215,47,26,493,42022
327,4060,48,20,460,36794
328,4566,39,30,154,23621
329,2199,37,27,169,20276
330,7552,46,8,404,39076
331,6304,52,35,288,35340
332,2501,48,22,567,40449
333,7646,48,3,267,31715
334,4059,46,6,415,32553
335,3242,39,30,234,25143
336,4368,52,23,178,23060
337,3782,53,14,533,38873
338,6095,59,35,133,25391
339,6888,57,17,134,23312
340,3738,57,19,591,42203
341,4375,35,11,565,42973
342,6139,56,25,155,24300
343,7570,55,1,166,25092
344,5845,41,24,334,35758
345,4292,40,23,279,29804
346,4157,59,5,572,38732
347,2774,40,3,465,31784
348,3729,49,27,368,32866
349,5121,48,17,230,26962
350,5697,38,22,340,35060
351,3820,56,31,389,34225
352,4026,36,14,322,30194
353,1948,35,13,274,22127
354,7786,39,16,268,34940
355,2482,35,31,502,39531
356,2939,39,24,392,33306
357,3385,51,35,546,43225
358,4401,37,25,561,46316
359,1846,48,1,355,22365
360,4064,53,27,413,35183
361,7312,55,26,268,33341
362,4818,35,20,207,26849
363,5269,57,23,165,23060
364,2367,42,27,421,33202
365,5792,37,25,565,48712
366,7609,45,14,290,35604
367,2877,37,32,444,36502
368,5846,51,12,583,46755
369,4362,46,9,240,23306
370,2699,43,12,208,19810
371,2752,59,4,210,17026
372,6644,50,29,506,47020
373,7724,53,28,468,46768
374,6767,55,20,562,48281
375,4089,39,28,154,22985
376,5122,55,19,527,41835
377,6344,36,22,379,38792
378,4042,49,28,139,20013
379,4520,44,4,450,34518
380,6538,54,32,316,36190
381,6254,52,2,350,32498
382,6839,41,20,429,42494
383,5607,39,3,350,31856
384,4313,57,5,378,29861
385,2913,36,15,482,36394
386,5099,51,33,432,39322
387,4481,46,18,318,30105
388,7844,45,3,524,46708
389,6802,45,4,288,30517
390,6070,56,24,265,30245
391,7428,56,9,290,31557
392,6273,56,9,589,46011
393,4041,55,25,186,22438
394,7306,37,19,406,42354
395,6771,60,21,536,45417
396,6989,57,33,167,29183
397,6992,48,32,305,36394
398,4470,44,11,229,24028
399,7776,50,12,235,30673
400,2769,37,18,552,39658
401,5658,59,34,547,47284
402,5813,36,21,568,49257
403,6562,39,24,198,29498
404,2981,57,10,489,33509
405,1857,48,23,466,33768
406,3445,49,18,505,38447
407,7920,49,14,393,40368
408,4035,60,30,582,43684
409,4513,56,28,356,33603
410,3808,59,24,377,31632
411,4929,40,12,530,42791
412,2633,43,3,448,30996
413,4540,52,6,484,36704
414,2521,44,5,510,33744
415,3734,49,32,195,23914
416,2251,42,28,572,41327
417,1718,48,3,322,21497
418,4563,42,24,161,23140
419,3339,35,20,596,43927
420,7354,55,21,525,46732
421,2627,36,18,589,42261
422,7202,39,30,349,41219
423,1543,37,1,251,17580
424,2724,52,33,336,28599
425,7858,44,15,274,34226
426,1891,42,26,447,33860
427,5244,37,7,548,43719
428,6388,52,1,443,37613
429,6210,42,9,269,30116
430,1512,54,22,243,19539
431,4912,40,5,388,33184
432,2054,51,34,379,30602
433,6039,35,24,567,49752
434,1856,55,24,311,23627
435,7622,35,22,523,49631
436,4324,42,6,515,39268
437,7522,59,21,188,27878
438,4386,52,21,536,42185
439,2934,59,29,476,35954
440,6675,40,8,152,25351
441,7858,49,2,270,31229
442,1858,60,12,573,34847
443,4085,44,32,323,32544
444,5378,43,2,505,40330
445,3065,44,22,561,42077
446,1891,55,21,259,20039
447,4514,48,25,500,41270
448,4667,45,11,374,33034
449,5575,46,33,256,31134
450,7456,48,5,340,35676
451,2978,52,18,284,23581
452,2155,45,18,276,22874
453,6436,57,27,205,29066
454,5136,46,28,141,24262
455,4388,54,27,260,27842
456,7983,36,4,463,44932
457,4827,46,32,530,45744
458,7065,40,1,193,26982
459,7054,60,28,137,25351
460,2050,42,23,305,25369
461,6146,36,9,467,41627
462,4538,46,28,510,41910
463,6201,39,33,307,36802
464,4075,55,17,247,23442
465,1712,58,11,375,24671
466,4670,52,7,254,25051
467,3632,57,28,229,24238
468,3839,57,31,222,23846
469,2611,37,28,208,23444
470,5146,37,20,461,40747
471,7312,37,35,397,44575
472,3957,40,11,526,39755
473,5667,42,7,222,25381
474,3439,60,31,133,18199
475,6038,53,23,359,36137
476,2563,54,5,153,13306
477,4761,57,30,389,35470
478,7800,48,4,184,27089
479,6762,37,28,358,40758
480,5738,46,8,569,45635
481,6016,55,11,513,41294
482,5044,51,3,545,39945
483,5744,39,19,204,27127
484,4143,57,14,297,26391
485,3826,37,16,220,24457
486,6012,43,8,440,38526
487,6533,52,5,377,35279
488,2881,53,9,207,18532
489,6615,58,21,551,47032
490,1837,35,5,143,14119
491,7816,53,16,453,43261
492,7782,53,26,436,44928
493,1748,50,34,268,24219
494,3974,50,15,532,40304
495,4826,44,29,157,24802
496,1990,40,28,332,28069
497,5304,41,21,430,38672
498,4060,57,20,495,37824
499,4766,39,23,383,36360
500,2369,45,15,358,26651
501,3691,49,15,192,19898
502,1914,44,24,562,39620
503,4925,42,10,536,41945
504,6232,58,20,217,28047
505,2805,50,32,359,30897
506,4027,50,1,166,17174
507,5640,49,15,230,27272
508,4390,36,3,264,25611
509,6394,55,30,266,32795
510,1566,38,27,188,18826
511,7459,46,25,307,36566
512,4781,36,35,219,29485
513,6032,44,4,317,31377
514,5189,59,35,263,30576
515,7073,54,7,185,24913
516,4726,46,21,405,35880
517,7684,39,12,428,43166
518,4788,51,2,143,16917
519,2622,57,21,531,37083
520,5754,49,9,430,37303
521,2645,45,20,203,20188
522,6550,58,19,423,39023
523,5655,51,34,370,38442
524,6111,44,30,537,47333
525,4517,45,7,333,29507
526,4020,60,1,425,30370
527,3675,55,14,489,35205
528,6280,50,10,388,36444
529,7407,54,24,195,30454
530,3484,36,7,217,20777
531,5112,45,26,197,26406
532,7156,41,26,376,41970
533,6509,50,3,481,39796
534,5749,41,35,286,35313
535,5418,51,24,280,30073
536,5265,52,21,399,35993
537,7036,59,16,432,40230
538,3075,42,17,405,31871
539,3342,44,18,480,36336
540,7154,57,31,282,35170
541,4357,52,17,267,25539
542,6197,56,34,314,35311
543,4327,59,9,268,23085
544,3856,57,5,297,23983
545,6873,43,30,229,32568
546,5912,43,35,476,45082
547,2624,38,15,244,21635
548,6987,51,14,446,40977
549,1930,38,26,289,25930
550,5369,38,8,122,20728
551,2793,48,30,364,31336
552,3133,59,18,284,23456
553,6791,36,5,453,41810
554,3402,52,2,587,38447
555,4923,40,2,548,41543
556,7954,50,11,599,52156
557,3871,36,0,272,24519
558,6437,38,21,265,33086
559,6753,52,33,372,39490
560,5630,49,17,218,25986
561,4208,40,29,451,39208
562,7386,40,0,497,43674
563,7977,44,12,209,31375
564,6732,47,27,383,39966
565,2210,47,6,214,16559
566,5411,45,15,123,20703
567,4642,42,28,505,42733
568,4200,44,0,253,23413
569,4445,57,15,151,19511
570,2468,49,19,201,19054
571,7120,51,19,473,43419
572,6732,44,23,434,42192
573,3295,39,30,198,23990
574,7625,54,23,332,38332
575,5999,50,34,530,48027
576,3289,59,15,468,34340
577,6380,60,5,389,34245
578,5826,57,23,159,24217
579,2419,36,35,582,44546
580,3156,53,34,196,22019
581,4187,51,28,179,23569
582,3182,57,31,166,20115
583,5149,60,3,352,28497
584,5704,48,29,408,38766
585,6077,49,19,490,42103
586,4743,43,0,501,37475
587,6237,37,2,336,33026
588,7237,37,34,150,30192
589,5367,36,18,329,33390
590,7799,39,26,311,39245
591,5174,47,24,161,24515
592,6921,52,8,454,40308
593,2471,40,34,321,29694
594,2543,58,14,547,35446
595,7694,35,19,357,41360
596,7390,52,27,392,41414
597,3381,42,29,297,28470
598,3758,41,7,136,17639
599,4934,54,1,243,22541
600,2051,38,2,348,24876
601,7005,57,3,245,28302
602,1862,47,28,239,21946
603,3279,59,3,191,16409
604,3869,42,20,415,35320
605,7828,56,20,241,32174
606,2673,56,33,233,22961
607,3961,43,3,405,31780
608,7522,40,27,404,44043
609,1884,46,24,522,36928
610,4111,57,26,329,29484
611,3956,47,11,506,38174
612,5379,42,14,273,29977
613,2682,60,29,588,40578
614,6107,48,26,405,39915
615,2598,47,15,250,21141
616,4205,55,5,592,41232
617,4539,37,34,490,43205
618,1922,43,24,464,34346
619,6439,36,4,216,28204
620,6313,58,35,231,31114
621,3211,45,19,585,41490
622,3235,41,7,502,36811
623,5423,42,13,323,31685
624,6022,45,18,314,33512
625,5871,55,22,277,30246
626,4446,51,31,358,33332
627,7418,50,20,588,50875
628,4536,45,26,143,22476
629,3312,58,9,128,13720
630,6032,53,26,271,31007
631,3107,45,14,314,26591
632,3513,50,35,455,38655
633,4265,43,31,490,42267
634,7558,50,29,206,32877
635,4385,40,8,488,38446
636,5500,40,34,448,42380
637,5792,36,4,538,44300
638,1897,59,0,331,19779
639,6666,42,4,482,41364
640,1574,41,32,353,28681
641,1995,54,30,457,33643
642,1628,35,34,402,32653
643,1597,35,33,489,36910
644,5888,44,1,377,34217
645,7021,48,11,174,25633
646,5795,39,15,218,28228
647,5812,43,22,256,30678
648,2147,46,25,355,28585
649,3492,57,14,273,23977
650,2160,55,2,167,12727
651,4606,47,35,363,35072
652,6716,35,10,162,26508
653,5054,55,21,409,35188
654,5826,36,14,228,29174
655,6143,50,17,143,22791
656,7106,43,34,408,44580
657,1769,40,20,128,14355
658,6308,39,25,595,50779
659,3951,40,15,410,34138
660,7046,52,21,316,36168
661,7559,39,5,376,39255
662,4333,36,6,343,29832
663,2122,45,25,516,37016
664,1742,55,17,521,34069
665,5519,42,22,403,38194
666,5037,40,24,163,25347
667,6567,44,15,485,42892
668,2172,43,9,314,24165
669,7921,55,9,498,44833
670,4094,46,6,166,17906
671,4025,49,23,509,39862
672,2337,39,5,215,18268
673,5176,52,35,382,37492
674,2346,35,5,301,23751
675,2262,54,20,562,37994
676,1601,44,26,318,26207
677,2193,58,35,583,40926
678,6185,51,10,470,40116
679,2888,39,17,274,24552
680,5539,39,4,205,24590
681,3760,48,19,367,30474
682,4458,43,15,489,39722
683,5561,54,12,354,31803
684,2609,44,0,322,23049
685,6580,47,21,345,36476
686,5027,55,8,273,25770
687,6441,57,12,365,34408
688,2955,47,20,269,24961
689,7193,55,31,414,42270
690,4169,47,17,538,41185
691,4490,38,12,423,36060
692,2973,56,35,133,19124
693,5281,57,13,344,30834
694,7175,37,26,464,46767
695,2640,55,19,243,20710
696,6895,39,27,524,49141
697,2105,49,30,418,32161
698,5877,51,26,398,37654
699,7977,46,34,424,46975
700,2196,38,15,456,33612
701,4408,40,2,408,33218
702,7049,55,25,505,46061
703,5026,38,0,170,20576
704,3318,51,33,405,34782
705,7133,53,14,348,35958
706,4704,49,32,197,25969
707,1701,50,6,271,18778
708,2203,38,9,298,23134
709,4310,49,13,386,32361
710,4353,50,6,344,29254
711,7207,49,20,154,26859
712,1866,60,7,131,10272
713,6808,38,10,596,50713
714,3498,51,11,402,30192
715,4211,52,27,356,32138
716,4818,55,11,215,23315
717,6884,48,25,134,26964
718,6530,41,28,423,42830
719,4685,35,13,225,25592
720,7663,57,4,415,37971
721,5898,40,23,286,32648
722,5248,38,16,463,40532
723,5823,55,20,425,38180
724,6507,47,7,298,31245
725,5250,54,11,536,42109
726,7283,60,19,590,50150
727,6334,37,8,280,30775
728,3454,44,7,213,20257
729,7180,39,32,318,39422
730,6385,39,24,336,36747
731,5486,55,34,475,43235
732,2919,52,10,370,27122
733,2649,40,20,551,40055
734,6574,36,22,124,26114
735,2618,41,24,407,32779
736,6849,50,26,470,44804
737,4904,57,28,370,33880
738,2177,53,1,527,33352
739,3306,44,2,260,21313
740,5904,44,10,519,43189
741,6133,58,31,401,39413
742,2427,53,7,257,20161
743,5949,46,34,541,49191
744,1840,59,28,399,28600
745,4982,38,15,272,28326
746,5184,43,22,561,45437
747,5096,38,15,227,27546
748,6316,57,22,560,47470
749,6499,55,27,204,29238
750,2640,60,13,536,35051
751,1986,53,22,392,28304
752,6389,52,10,285,30931
753,3897,44,17,559,42351
754,7064,38,8,504,45182
755,1985,43,8,479,31463
756,3545,39,20,544,41345
757,7737,56,25,370,39642
758,6230,55,17,441,39469
759,4573,49,4,444,35094
760,2262,47,32,503,37530
761,7191,46,29,369,40685
762,6267,35,5,494,42795
763,6700,56,22,555,46834
764,5878,47,13,339,32909
765,5552,43,20,544,45354
766,4266,52,8,409,32273
767,7957,45,3,143,24913
768,6629,60,29,128,24097
769,2794,49,29,120,17162
770,3157,57,8,571,38481
771,3972,40,17,167,21723
772,4452,43,5,310,28144
773,6815,40,3,322,33924
774,4002,58,14,339,28551
775,2247,57,6,120,10420
776,5406,37,8,423,36821
777,5755,56,28,124,22017
778,7198,45,7,560,47559
779,7185,39,30,156,29775
780,4638,37,6,172,21144
781,4511,44,8,315,29193
782,7669,39,9,155,27622
783,6114,35,10,345,34944
784,7418,41,9,590,50512
785,6546,56,28,560,48165
786,2210,38,8,505,33969
787,6329,58,24,299,32807
788,4076,60,8,246,21504
789,6780,37,15,403,40771
790,6415,58,18,518,44497
791,1719,56,19,225,18116
792,6471,51,12,502,42888
793,3921,55,3,521,35911
794,5554,47,7,243,26426
795,6727,54,4,390,34713
796,4458,45,8,318,28701
797,4947,46,34,469,41831
798,7748,50,4,128,24207
799,2053,35,16,230,20127
800,1995,60,25,379,27320
801,6649,57,32,512,46757
802,4969,57,25,162,23012
803,5895,52,9,262,27130
804,4038,37,32,591,47324
805,2772,52,20,320,26459
806,6696,59,4,278,29291
807,5083,58,15,149,19817
808,2206,48,7,352,25166
809,6487,36,19,461,44444
810,6890,58,11,181,24358
811,7299,39,0,203,27758
812,4340,51,33,520,43644
813,3623,40,23,184,23165
814,7898,43,7,514,46005
815,4244,60,27,259,26513
816,2023,43,4,374,25712
817,5684,46,3,375,33509
818,2867,46,10,250,22120
819,2342,53,7,236,18749
820,5668,35,2,559,43599
821,3503,36,30,306,30600
822,2729,40,2,403,29390
823,7567,55,26,234,32456
824,3533,48,20,258,24161
825,6182,46,7,377,35653
826,1931,40,14,531,36429
827,1876,47,4,569,35654
828,3812,59,19,287,24887
829,6030,49,0,308,28936
830,3888,53,19,498,38478
831,3487,49,23,422,34351
832,7829,59,12,495,44847
833,7729,60,15,197,27551
834,4859,35,14,397,35753
835,6709,57,0,291,28126
836,7717,56,24,554,50758
837,7457,44,6,225,29865
838,3451,48,31,150,20153
839,7329,43,5,142,24347
840,5757,48,23,354,36246
841,2195,53,6,378,24812
842,6720,47,4,423,38491
843,2010,48,8,241,18154
844,3638,45,25,478,39099
845,4172,45,28,259,27741
846,2111,41,8,519,35486
847,6289,38,9,174,25001
848,5182,49,20,328,31607
849,5890,46,13,351,33914
850,5295,43,7,166,21401
851,7120,44,2,230,28265
852,2715,37,15,302,25854
853,5706,36,19,253,30124
854,1754,47,28,404,31210
855,6006,42,6,356,33241
856,2645,38,0,151,15363
857,3320,39,12,541,39559
858,4549,56,5,418,32577
859,3620,37,1,153,16723
860,6791,49,8,167,24564
861,2503,36,29,145,18925
862,6201,48,25,374,37212
863,4635,56,27,208,24701
864,3258,40,17,263,25005
865,2717,36,15,451,33966
866,5586,48,35,365,37228
867,2218,43,24,190,19547
868,3133,55,33,247,25308
869,5953,60,1,315,29061
870,4441,50,34,520,43682
871,4318,53,32,284,29514
872,3715,40,1,283,24540
873,3294,35,17,149,19467
874,5837,46,14,201,25301
875,3530,56,15,256,23118
876,7981,58,3,511,43892
877,6216,60,24,301,31905
878,2942,42,20,532,40003
879,7214,46,1,480,42564
880,4380,53,9,408,31921
881,5532,52,19,209,26049
882,1810,37,3,239,18659
883,3292,35,33,364,33203
884,4217,54,12,532,38684
885,4291,57,11,590,41892
886,1987,35,9,420,30534
887,2660,59,7,553,35724
888,4489,37,23,480,41531
889,4740,53,6,292,26026
890,4142,39,10,494,38496
891,7986,55,31,452,46258
892,2927,57,35,475,37480
893,7947,46,14,460,45189
894,2936,47,19,495,37074
895,3912,39,11,493,37224
896,7250,53,25,555,50393
897,6148,36,11,428,39576
898,6508,42,6,599,48518
899,2652,45,4,241,19319
900,4117,40,5,540,40508
901,6988,55,21,348,35916
902,3672,41,15,474,36266
903,4371,43,6,488,36578
904,1894,47,28,495,35850
905,2862,48,31,571,42496
906,4377,52,24,171,22295
907,7961,53,14,203,29963
908,2103,60,2,270,16877
909,4110,43,6,157,18497
910,2893,47,10,494,34047
911,5981,37,21,424,41274
912,5454,57,1,340,29576
913,2851,54,27,200,19961
914,2329,45,13,217,19036
915,7211,52,34,255,35321
916,3806,44,15,169,19389
917,4718,53,35,550,45774
918,2758,36,23,121,17617
919,2217,44,30,222,21605
920,1710,41,10,446,29969
921,2171,50,7,277,20285
922,5357,50,16,166,23309
923,5957,47,11,309,31421
924,4526,40,28,142,22746
925,5102,49,16,235,25899
926,6122,36,9,505,44169
927,6967,38,5,462,41981
928,5935,48,14,403,36306
929,4671,51,26,394,36113
930,5389,53,15,363,32972
931,2146,47,2,377,25545
932,5733,60,9,181,22737
933,5178,40,10,228,25525
934,2533,36,27,160,20511
935,5066,41,9,547,43348
936,3612,45,4,164,17280
937,6057,47,35,286,34480
938,5757,49,0,522,41129
939,6604,53,33,520,47767
940,2421,48,9,195,17271
941,6316,53,6,593,45646
942,6109,59,6,522,40934
943,5887,46,26,255,31120
944,6864,50,30,139,26697
945,3756,47,9,436,33669
946,7077,57,25,139,25884
947,4215,57,15,145,18835
948,5392,43,23,130,22883
949,3982,44,17,551,42051
950,7203,56,6,564,45892
951,2600,44,28,516,38717
952,3707,58,26,429,34992
953,2231,41,28,228,22601
954,7569,50,33,564,52576
955,1960,51,10,153,13244
956,7312,51,25,189,30659
957,5794,53,1,208,22600
958,3144,36,15,136,17910
959,1914,46,12,260,20104
960,5302,51,25,445,38972
961,7080,35,15,310,36327
962,6366,49,11,565,46351
963,6307,52,22,296,32409
964,3618,58,5,265,20730
965,4666,36,10,557,43751
966,7888,41,14,451,44419
967,7051,41,17,453,43605
968,5704,35,0,362,32728
969,6803,40,0,234,27752
970,6483,60,19,484,42754
971,6765,43,27,578,51344
972,4356,49,16,231,24443
973,3975,56,33,542,43252
974,4753,53,6,123,17188
975,6926,46,35,451,46238
976,6489,44,19,470,42686
977,5446,37,21,261,31187
978,4163,43,16,455,37559
979,6836,44,12,196,27958
980,7770,42,3,532,47282
981,4810,56,20,468,37688
982,7408,35,31,271,37313
983,4928,47,24,497,41128
984,6276,57,12,295,31039
985,7343,42,34,446,46938
986,7003,46,32,273,35209
987,6887,52,11,270,30140
988,5356,39,16,491,42332
989,7749,40,21,455,45434
990,3320,46,14,501,36687
991,4944,60,21,310,29239
992,6296,44,29,555,48757
993,5354,36,4,361,32631
994,5599,38,24,391,38393
995,4884,36,9,190,23104
996,4307,48,29,193,24397
